time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-01-11,,,,3.8,571.5,,,,,
2000-01-18,,,,7.225,704.75,,,,,
2000-01-25,,,,2.78,817.8,,,,,
2000-02-01,,,,0.5,813.0,,,,,
2000-02-08,,,,6.4,864.0,,,,,
2000-02-15,,,,,,,,,,
2000-02-22,,,,0.8,762.0,,,,,
2000-02-29,,,,,,,,,,
2000-03-07,,,,,,,,,,
2000-03-14,,,,,,,,,,
2000-03-21,,,,,,,,,,
2000-03-28,,,,1.75,660.0,,,,,
2000-04-04,,,,,,,,,,
2000-04-11,,,,,,,,,,
2000-04-18,,,,,,,,,,
2000-04-25,,,,,,,,,,
2000-05-02,,,,,,,,,,
2000-05-09,,,,,,,,,,
2000-05-16,,,,,,,,,,
2000-05-23,,,,11.2,0.0,,,,,
2000-05-30,,,,1.7666666666666666,0.0,,,,,
2000-06-06,,,,1.8666666666666665,0.0,,,,,
2000-06-13,,,,1.5,0.0,,,,,
2000-06-20,,,,1.0,0.0,,,,,
2000-06-27,,,,,,,,,,
2000-07-04,,,,1.0,0.0,,,,,
2000-07-11,,,,6.75,0.0,,,,,
2000-07-18,,,,3.1999999999999997,0.0,,,,,
2000-07-25,,,,1.9666666666666666,0.0,,,,,
2000-08-01,,,,1.4,0.0,,,,,
2000-08-08,,,,,,,,,,
2000-08-15,,,,,,,,,,
2000-08-22,,,,,,,,,,
2000-08-29,,,,,,,,,,
2000-09-05,,,,1.92,0.0,,,,,
2000-09-12,,,,3.9200000000000004,0.0,,,,,
2000-09-19,,,,1.525,0.0,,,,,
2000-09-26,,,,8.966666666666667,0.0,,,,,
2000-10-03,,,,0.8,0.0,,,,,
2000-10-10,,,,4.066666666666666,101.66666666666667,,,,,
2000-10-17,,,,,,,,,,
2000-10-24,,,,1.05,114.5,,,,,
2000-10-31,,,,1.3199999999999998,112.0,,,,,
2000-11-07,,,,0.9,139.5,,,,,
2000-11-14,,,,,,,,,,
2000-11-21,,,,,,,,,,
2000-11-28,,,,10.2,203.0,,,,,
2000-12-05,,,,1.65,241.5,,,,,
2000-12-12,,,,,,,,,,
2000-12-19,,,,,,,,,,
2000-12-26,,,,,,,,,,
2001-01-02,,,,,,,,,,
2001-01-09,,,,,,,,,,
2001-01-16,,,,,,,,,,
2001-01-23,,,,,,,,,,
2001-01-30,,,,,,,,,,
2001-02-06,,,,1.05,266.5,,,,,
2001-02-13,,,,3.75,336.25,,,,,
2001-02-20,,,,0.8,356.0,,,,,
2001-02-27,,,,0.3,356.0,,,,,
2001-03-06,,,,0.3,356.0,,,,,
2001-03-13,,,,1.0,356.0,,,,,
2001-03-20,,,,,,,,,,
2001-03-27,,,,5.1,432.0,,,,,
2001-04-03,,,,1.65,520.5,,,,,
2001-04-10,,,,,,,,,,
2001-04-17,,,,,,,,,,
2001-04-24,,,,,,,,,,
2001-05-01,,,,,,,,,,
2001-05-08,,,,6.4,76.0,,,,,
2001-05-15,,,,,,,,,,
2001-05-22,,,,,,,,,,
2001-05-29,,,,2.04,0.0,,,,,
2001-06-05,,,,6.949999999999999,0.0,,,,,
2001-06-12,,,,3.733333333333333,0.0,,,,,
2001-06-19,,,,,,,,,,
2001-06-26,,,,7.4,0.0,,,,,
2001-07-03,,,,0.5,0.0,,,,,
2001-07-10,,,,0.6,0.0,,,,,
2001-07-17,,,,2.8000000000000003,0.0,,,,,
2001-07-24,,,,5.633333333333333,0.0,,,,,
2001-07-31,,,,4.233333333333333,0.0,,,,,
2001-08-07,,,,1.4,0.0,,,,,
2001-08-14,,,,6.433333333333333,0.0,,,,,
2001-08-21,,,,8.0,0.0,,,,,
2001-08-28,,,,1.0,0.0,,,,,
2001-09-04,,,,,,,,,,
2001-09-11,,,,3.066666666666667,0.0,,,,,
2001-09-18,,,,,,,,,,
2001-09-25,,,,0.5,0.0,,,,,
2001-10-02,,,,3.3,0.0,,,,,
2001-10-09,,,,4.666666666666667,0.0,,,,,
2001-10-16,,,,3.5999999999999996,101.75,,,,,
2001-10-23,,,,0.7,171.5,,,,,
2001-10-30,,,,0.4,165.0,,,,,
2001-11-06,,,,1.5333333333333332,220.0,,,,,
2001-11-13,,,,,,,,,,
2001-11-20,,,,,,,,,,
2001-11-27,,,,,,,,,,
2001-12-04,,,,,,,,,,
2001-12-11,,,,,,,,,,
2001-12-18,,,,1.5,254.0,,,,,
2001-12-25,,,,,,,,,,
2002-01-01,,,,,,,,,,
2002-01-08,,,,2.15,304.5,,,,,
2002-01-15,,,,,,,,,,
2002-01-22,,,,1.5,330.0,,,,,
2002-01-29,,,,0.75,368.5,,,,,
2002-02-05,,,,,,,,,,
2002-02-12,,,,2.0,406.0,,,,,
2002-02-19,,,,,,,,,,
2002-02-26,,,,,,,,,,
2002-03-05,,,,2.0,406.0,,,,,
2002-03-12,,,,,,,,,,
2002-03-19,,,,,,,,,,
2002-03-26,,,,,,,,,,
2002-04-02,,,,2.15,368.5,,,,,
2002-04-09,,,,2.0,356.0,,,,,
2002-04-16,,,,,,,,,,
2002-04-23,,,,9.55,482.5,,,,,
2002-04-30,,,,2.5,241.5,,,,,
2002-05-07,,,,,,,,,,
2002-05-14,,,,,,,,,,
2002-05-21,,,,,,,,,,
2002-05-28,,,,,,,,,,
2002-06-04,,,,2.4,0.0,,,,,
2002-06-11,,,,3.55,0.0,,,,,
2002-06-18,,,,2.0,0.0,,,,,
2002-06-25,,,,3.3000000000000003,0.0,,,,,
2002-07-02,,,,0.6,0.0,,,,,
2002-07-09,,,,4.233333333333333,0.0,,,,,
2002-07-16,,,,0.875,0.0,,,,,
2002-07-23,,,,1.5999999999999999,0.0,,,,,
2002-07-30,,,,2.7,0.0,,,,,
2002-08-06,,,,,,,,,,
2002-08-13,,,,3.9500000000000006,0.0,,,,,
2002-08-20,,,,3.766666666666667,0.0,,,,,
2002-08-27,,,,5.025,0.0,,,,,
2002-09-03,,,,1.7,0.0,,,,,
2002-09-10,,,,2.5599999999999996,0.0,,,,,
2002-09-17,,,,1.975,0.0,,,,,
2002-09-24,,,,,,,,,,
2002-10-01,,,,2.2666666666666666,0.0,,,,,
2002-10-08,,,,1.2,0.0,,,,,
2002-10-15,,,,1.0,25.0,,,,,
2002-10-22,,,,4.566666666666666,76.33333333333333,,,,,
2002-10-29,,,,0.5,76.0,,,,,
2002-11-05,,,,,,,,,,
2002-11-12,,,,,,,,,,
2002-11-19,,,,0.8,76.0,,,,,
2002-11-26,,,,,,,,,,
2002-12-03,,,,2.0,76.0,,,,,
2002-12-10,,,,,,,,,,
2002-12-17,,,,0.475,114.25,,,,,
2002-12-24,,,,,,,,,,
2002-12-31,,,,1.9333333333333333,212.0,,,,,
2003-01-07,,,,4.3,279.0,,,,,
2003-01-14,,,,,,,,,,
2003-01-21,,,,,,,,,,
2003-01-28,,,,,,,,,,
2003-02-04,,,,,,,,,,
2003-02-11,,,,2.0,,,,,,
2003-02-18,,,,,,,,,,
2003-02-25,,,,,,,,,,
2003-03-04,,,,,,,,,,
2003-03-11,,,,1.3,330.0,,,,,
2003-03-18,,,,,,,,,,
2003-03-25,,,,,,,,,,
2003-04-01,,,,,,,,,,
2003-04-08,,,,,,,,,,
2003-04-15,,,,,,,,,,
2003-04-22,,,,,,,,,,
2003-04-29,,,,,,,,,,
2003-05-06,,,,,,,,,,
2003-05-13,,,,,,,,,,
2003-05-20,,,,,,,,,,
2003-05-27,,,,2.3,0.0,,,,,
2003-06-03,,,,,,,,,,
2003-06-10,,,,10.149999999999999,0.0,,,,,
2003-06-17,,,,,,,,,,
2003-06-24,,,,1.7,0.0,,,,,
2003-07-01,,,,0.5333333333333333,0.0,,,,,
2003-07-08,,,,4.9,0.0,,,,,
2003-07-15,,,,1.0999999999999999,0.0,,,,,
2003-07-22,,,,10.05,0.0,,,,,
2003-07-29,,,,12.960000000000003,0.0,,,,,
2003-08-05,,,,5.25,0.0,,,,,
2003-08-12,,,,1.1666666666666667,0.0,,,,,
2003-08-19,,,,6.25,0.0,,,,,
2003-08-26,,,,3.8166666666666664,0.0,,,,,
2003-09-02,,,,5.38,0.0,,,,,
2003-09-09,,,,3.175,0.0,,,,,
2003-09-16,,,,6.6,0.0,,,,,
2003-09-23,,,,,,,,,,
2003-09-30,,,,1.25,0.0,,,,,
2003-10-07,,,,2.0,0.0,,,,,
2003-10-14,,,,,,,,,,
2003-10-21,,,,1.8,0.0,,,,,
2003-10-28,,,,0.8,25.0,,,,,
2003-11-04,,,,10.9,0.0,,,,,
2003-11-11,,,,1.8199999999999998,10.0,,,,,
2003-11-18,,,,0.3,25.0,,,,,
2003-11-25,,,,2.52,121.8,,,,,
2003-12-02,,,,0.85,178.0,,,,,
2003-12-09,,,,,,,,,,
2003-12-16,,,,,,,,,,
2003-12-23,,,,2.55,228.5,,,,,
2003-12-30,,,,0.8666666666666667,262.3333333333333,,,,,
2004-01-06,,,,0.3,279.0,,,,,
2004-01-13,,,,1.0,254.0,,,,,
2004-01-20,,,,0.5,254.0,,,,,
2004-01-27,,,,2.3,279.0,,,,,
2004-02-03,,,,,,,,,,
2004-02-10,,,,1.0,330.0,,,,,
2004-02-17,,,,0.5,305.0,,,,,
2004-02-24,,,,,,,,,,
2004-03-02,,,,,,,,,,
2004-03-09,,,,0.55,305.0,,,,,
2004-03-16,,,,,,,,,,
2004-03-23,,,,1.3,305.0,,,,,
2004-03-30,,,,,,,,,,
2004-04-06,,,,0.8,279.0,,,,,
2004-04-13,,,,,,,,,,
2004-04-20,,,,5.1,76.0,,,,,
2004-04-27,,,,1.0,0.0,,,,,
2004-05-04,,,,5.1,0.0,,,,,
2004-05-11,,,,,,,,,,
2004-05-18,,,,,,,,,,
2004-05-25,,,,,,,,,,
2004-06-01,,,,,,,,,,
2004-06-08,,,,,,,,,,
2004-06-15,,,,,,,,,,
