time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2000-01-11,1.2,-1.0,4.0,,,230.0,40.0,,1014.9,
2000-01-18,,,,,,,,,,
2000-01-25,,,,,,,,,,
2000-02-01,-8.15,-13.5,0.0,,,,8.35,,1022.95,
2000-02-08,,,,,,,,,,
2000-02-15,-9.5,-13.0,-5.0,,,,6.8,,1010.3,
2000-02-22,-2.4000000000000004,-8.5,5.5,,,,10.25,,1017.2,
2000-02-29,0.96,-4.4,5.2,,,249.0,16.380000000000003,,1009.1,
2000-03-07,4.0,-1.0,10.4,,,259.0,12.940000000000001,,1010.46,
2000-03-14,-0.5599999999999999,-5.2,4.6,,,243.0,15.040000000000001,,1020.5,
2000-03-21,0.8749999999999999,-4.75,6.5,,,241.66666666666666,22.025,,1013.3666666666667,
2000-03-28,5.466666666666666,-1.0,12.0,,,284.0,21.3,,1016.3,
2000-04-04,0.65,-3.5,5.0,,,,21.6,,1028.1,
2000-04-11,5.275,-0.25,11.75,,,275.0,15.525,,1020.0,
2000-04-18,7.459999999999999,1.2,14.2,,,186.0,19.24,,1012.3799999999999,
2000-04-25,9.0,-1.0,18.0,,,,9.9,,1014.2,
2000-05-02,11.02,2.4,20.0,,,84.0,18.94,,1020.175,
2000-05-09,9.466666666666667,1.3333333333333333,16.333333333333332,,,,9.266666666666667,,1011.6666666666666,
2000-05-16,5.5200000000000005,0.0,11.6,,,279.0,16.880000000000003,,1011.86,
2000-05-23,12.025,5.25,17.5,,,92.0,15.325,,1015.9,
2000-05-30,9.100000000000001,5.5,13.5,,,,12.6,,1016.2,
2000-06-06,14.975,5.25,23.25,,,83.0,17.3,,1019.0,
2000-06-13,15.3,9.0,21.5,,,218.5,16.0,,1009.2666666666668,
2000-06-20,11.350000000000001,6.5,17.5,,,280.0,20.175,,1014.325,
2000-06-27,14.475000000000001,7.5,20.0,,,265.0,11.425,,1015.2,
2000-07-04,18.46666666666667,9.0,27.666666666666668,,,110.0,11.566666666666668,,1010.4333333333334,
2000-07-11,17.925,9.5,25.25,,,,15.9,,,
2000-07-18,21.0,11.25,30.0,,,106.0,12.233333333333334,,1015.5,
2000-07-25,19.966666666666665,12.333333333333334,27.0,,,255.5,14.200000000000001,,1015.25,
2000-08-01,23.7,14.6,32.0,,,,9.466666666666667,,1012.3333333333334,
2000-08-08,20.766666666666666,13.333333333333334,29.0,,,98.0,13.45,,1013.3333333333334,
2000-08-15,23.9,12.0,35.0,,,,9.9,,1011.4,
2000-08-22,16.86,8.2,25.4,,,,12.08,,1016.68,
2000-08-29,18.78,10.2,28.6,,,,9.34,,1014.25,
2000-09-05,15.55,10.75,22.5,,,167.0,13.3,,1010.15,
2000-09-12,12.566666666666668,6.5,19.333333333333332,,,254.0,15.366666666666667,,1012.1666666666666,
2000-09-19,16.3,9.5,23.25,,,,12.0,,1015.175,
2000-09-26,2.766666666666666,-3.0,8.333333333333334,,,311.0,17.9,,1019.2666666666668,
2000-10-03,10.928571428571429,4.142857142857143,17.571428571428573,,,231.33333333333334,14.814285714285715,,1014.0,
2000-10-10,-4.6,-7.0,0.0,,,,8.6,,1032.7,
2000-10-17,6.066666666666666,2.6666666666666665,10.0,,,,11.066666666666668,,1015.25,
2000-10-24,6.233333333333333,0.0,11.666666666666666,,,243.0,12.966666666666667,,1012.3,
2000-10-31,6.65,4.5,9.0,,,,12.45,,1015.7,
2000-11-07,,,,,,,,,,
2000-11-14,,,,,,,,,,
2000-11-21,,,,,,,,,,
2000-11-28,,,,,,,,,,
2000-12-05,,,,,,,,,,
2000-12-12,,,,,,,,,,
2000-12-19,-6.34,-15.34,2.2,,,263.6666666666667,26.360000000000003,,1019.3799999999999,
2000-12-26,-8.942857142857143,-14.700000000000001,-3.814285714285714,,,115.0,11.857142857142858,,1025.0428571428572,
2001-01-02,-1.8833333333333335,-7.416666666666667,1.95,,,201.0,14.683333333333332,,1025.7833333333333,
2001-01-09,1.7,-3.085714285714286,6.3428571428571425,,,270.0,15.685714285714285,,1017.2571428571429,
2001-01-16,-4.785714285714286,-8.9,-0.6571428571428569,,,248.0,10.200000000000001,,1019.0,
2001-01-23,-2.3428571428571425,-8.742857142857144,2.6999999999999997,,,207.0,13.1,,1023.6999999999999,
2001-01-30,-4.6000000000000005,-9.857142857142858,2.3000000000000003,,,196.0,12.885714285714286,,1016.9142857142857,
2001-02-06,-1.8428571428571427,-6.357142857142857,1.9714285714285715,,,186.0,18.12857142857143,,1019.3285714285714,
2001-02-13,-12.185714285714285,-18.257142857142856,-6.114285714285714,,,,9.37142857142857,,1020.1714285714287,
2001-02-20,-9.414285714285715,-15.071428571428571,-3.485714285714286,,,270.0,11.6,,1022.6857142857143,
2001-02-27,-8.242857142857144,-13.657142857142857,-2.6285714285714286,,,,9.457142857142857,,1019.1428571428571,
2001-03-06,-1.1857142857142855,-7.714285714285714,5.3999999999999995,,,,11.457142857142857,,1016.6142857142858,
2001-03-13,1.9857142857142858,-2.6285714285714286,7.057142857142857,,,269.0,15.385714285714286,,1013.4,
2001-03-20,1.4428571428571428,-4.442857142857143,7.285714285714286,,,260.5,13.799999999999999,,1016.3571428571429,
2001-03-27,-0.35714285714285715,-4.828571428571429,5.171428571428571,,,136.0,17.685714285714287,,1021.8714285714286,
2001-04-03,1.6800000000000002,-5.24,7.659999999999999,,,223.0,19.919999999999998,,1010.28,
2001-04-10,2.857142857142857,-2.3000000000000003,8.571428571428571,,,,15.728571428571428,,1009.75,
2001-04-17,1.4142857142857141,-3.8857142857142857,7.314285714285715,,,165.0,17.95714285714286,,1019.5857142857142,
2001-04-24,5.557142857142857,-1.1857142857142857,11.742857142857144,,,178.0,15.914285714285715,,1015.4857142857143,
2001-05-01,12.971428571428572,4.942857142857143,20.014285714285712,,,255.0,20.17142857142857,,1010.2714285714285,
2001-05-08,8.657142857142857,-0.3999999999999999,16.757142857142856,,,271.0,17.02857142857143,,1018.1428571428571,
2001-05-15,14.857142857142858,6.728571428571429,22.857142857142858,,,,14.771428571428572,,1010.9428571428571,
2001-05-22,10.242857142857144,2.857142857142857,17.37142857142857,,,275.0,21.97142857142857,,1014.6,
2001-05-29,17.385714285714283,8.871428571428572,24.842857142857145,,,177.33333333333334,17.62857142857143,,1012.7285714285715,
2001-06-05,11.714285714285714,5.228571428571429,18.5,,,,16.728571428571428,,1013.54,
2001-06-12,14.185714285714285,8.157142857142857,20.24285714285714,,,,13.071428571428571,,1012.6714285714286,
2001-06-19,11.485714285714286,5.957142857142857,16.97142857142857,,,265.0,15.4,,1016.0428571428572,
2001-06-26,18.97142857142857,10.714285714285714,25.885714285714283,,,204.0,13.442857142857141,,1013.9,
2001-07-03,20.214285714285715,13.557142857142859,26.67142857142857,,,92.0,14.057142857142859,,1016.7428571428571,
2001-07-10,21.685714285714287,13.099999999999998,29.928571428571427,,,,10.157142857142857,,1013.6999999999999,
2001-07-17,19.099999999999998,11.9,27.771428571428572,,,,11.542857142857143,,1011.8000000000001,
2001-07-24,18.185714285714287,10.785714285714286,26.014285714285712,,,,12.157142857142857,,1012.5428571428572,
2001-07-31,18.17142857142857,10.642857142857142,25.24285714285714,,,265.0,14.471428571428572,,1011.5285714285714,
2001-08-07,22.75714285714286,11.914285714285715,32.68571428571429,,,,11.028571428571428,,1014.4714285714286,
2001-08-14,20.857142857142858,12.857142857142858,28.25714285714286,,,271.0,13.828571428571431,,1017.7857142857143,
2001-08-21,21.75,12.316666666666668,30.683333333333334,,,95.0,12.100000000000001,,1012.5500000000001,
2001-08-28,21.271428571428572,10.642857142857142,30.957142857142856,,,,11.614285714285714,,1012.6,
2001-09-04,21.314285714285713,11.37142857142857,30.085714285714285,,,,12.485714285714286,,1009.9,
2001-09-11,11.928571428571429,6.8428571428571425,17.857142857142858,,,287.0,14.571428571428571,,1014.6428571428571,
2001-09-18,12.257142857142856,5.871428571428572,19.3,,,118.5,13.271428571428572,,1017.9428571428572,
2001-09-25,15.928571428571429,7.057142857142858,25.071428571428573,,,197.0,13.214285714285714,,1015.6,
2001-10-02,15.557142857142859,7.942857142857143,24.042857142857144,,,,11.342857142857142,,1015.157142857143,
2001-10-09,7.3999999999999995,1.2833333333333334,13.816666666666668,,,,13.533333333333333,,1016.4,
2001-10-16,5.314285714285715,-0.7000000000000001,11.342857142857143,,,236.75,20.542857142857144,,1014.6714285714286,
2001-10-23,6.485714285714286,-0.12857142857142856,11.971428571428572,,,241.0,23.67142857142857,,1009.7571428571429,
2001-10-30,6.042857142857144,-0.15714285714285708,13.1,,,213.66666666666666,15.614285714285714,,1018.4428571428572,
2001-11-06,7.714285714285714,1.2,15.071428571428571,,,239.5,20.642857142857142,,1017.8833333333333,
2001-11-13,6.371428571428572,-1.9,15.471428571428572,,,206.25,15.585714285714285,,1019.9142857142857,
2001-11-20,6.914285714285714,-0.08571428571428566,13.72857142857143,,,221.0,16.12857142857143,,1017.8571428571429,
2001-11-27,-1.042857142857143,-5.857142857142857,2.857142857142857,,,93.5,14.185714285714285,,1012.3142857142857,
2001-12-04,0.05714285714285713,-4.357142857142857,3.5,,,215.5,19.82857142857143,,1005.6428571428571,
2001-12-11,-1.342857142857143,-6.2,3.8000000000000003,,,258.0,19.942857142857143,,1012.7285714285715,
2001-12-18,0.014285714285714235,-6.514285714285713,4.628571428571428,,,222.33333333333334,25.87142857142857,,1008.3857142857142,
2001-12-25,-5.228571428571429,-11.428571428571429,1.8142857142857143,,,244.0,12.37142857142857,,1022.657142857143,
2002-01-01,-9.1,-14.983333333333334,-1.8499999999999999,,,,10.4,,1024.9333333333332,
2002-01-08,2.8999999999999995,-3.957142857142857,8.714285714285714,,,220.33333333333334,23.042857142857144,,1016.2571428571429,
2002-01-15,-2.1714285714285713,-7.614285714285714,2.6142857142857143,,,255.5,16.366666666666667,,1020.4571428571428,
2002-01-22,-5.885714285714286,-9.614285714285714,-3.0285714285714285,,,242.5,20.849999999999998,,1012.6333333333333,
