time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2004-01-06,-10.1,-16.0,-7.0,,,,2.3,,1033.3,
2004-01-13,-2.9333333333333336,-5.0,-1.0,,,,3.3333333333333335,,1024.4,
2004-01-20,,,,,,,,,,
2004-01-27,-0.3,-2.6666666666666665,2.6666666666666665,,,,2.5333333333333337,,1014.3666666666667,
2004-02-03,2.466666666666667,-1.3333333333333333,6.0,,,,12.633333333333333,,1009.0333333333333,
2004-02-10,2.0,-2.0,6.5,,,319.0,16.25,,1031.85,
2004-02-17,2.0,1.0,4.0,,,,4.7,,1019.2,
2004-02-24,2.733333333333333,-1.6666666666666667,8.5,,,,5.066666666666666,,1014.5200000000001,
2004-03-02,4.6499999999999995,0.5,10.0,,,,6.933333333333334,,1017.6,
2004-03-09,6.542857142857143,2.0,12.857142857142858,,,330.0,16.52857142857143,,1020.5142857142856,
2004-03-16,8.914285714285715,2.0,16.142857142857142,,,312.5,20.214285714285715,,1023.9,
2004-03-23,8.566666666666668,1.3333333333333333,17.0,,,310.0,13.466666666666667,,1018.0,
2004-03-30,8.26,2.0,15.4,,,,15.440000000000001,,1018.625,
2004-04-06,9.76,2.0,18.2,,,315.0,15.12,,1019.8799999999999,
2004-04-13,12.68,4.2,20.6,,,312.5,14.180000000000001,,1019.1200000000001,
2004-04-20,8.533333333333333,1.0,16.166666666666668,,,,12.5,,1011.2833333333333,
2004-04-27,12.233333333333334,4.0,20.833333333333332,,,,14.066666666666668,,1021.8333333333334,
2004-05-04,16.52,6.8,25.6,,,315.0,15.280000000000001,,1018.76,
2004-05-11,13.233333333333334,6.833333333333333,20.166666666666668,,,310.0,23.21666666666667,,1013.72,
2004-05-18,13.799999999999999,7.333333333333333,20.5,,,309.0,14.366666666666667,,1014.82,
2004-05-25,14.95,10.0,21.5,,,313.0,18.85,,1014.0,
2004-06-01,14.0,9.0,19.142857142857142,,,308.2,26.2,,1012.342857142857,
2004-06-08,17.380000000000003,11.0,23.4,,,307.0,19.98,,1010.3799999999999,
2004-06-15,14.55,9.5,20.25,,,305.0,26.575,,1019.45,
2004-06-22,22.17142857142857,10.571428571428571,31.571428571428573,,,,10.0,,1016.7428571428571,
2004-06-29,23.5,16.4,32.2,,,312.0,23.66,,1014.2,
2004-07-06,21.525,17.0,27.25,,,310.6666666666667,30.325000000000003,,1013.4,
2004-07-13,19.5,12.0,27.75,,,310.0,19.400000000000002,,1013.7,
2004-07-20,25.37142857142857,16.714285714285715,34.285714285714285,,,308.0,19.485714285714288,,1012.5,
2004-07-27,25.666666666666668,16.5,34.5,,,312.0,18.85,,1014.0500000000001,
2004-08-03,25.53333333333333,19.5,33.5,,,314.6,30.46666666666667,,1008.8166666666666,
2004-08-10,20.96,12.6,29.6,,,,10.6,,1017.0999999999999,
2004-08-17,26.266666666666666,18.0,36.0,,,317.0,14.483333333333334,,1012.8833333333333,
2004-08-24,22.12857142857143,16.714285714285715,28.714285714285715,,,309.0,21.014285714285712,,1009.0428571428572,
2004-08-31,20.9,14.6,28.6,,,317.0,18.419999999999998,,1013.4799999999999,
2004-09-07,17.36,10.8,24.0,,,315.0,21.4,,1017.54,
2004-09-14,15.816666666666668,9.333333333333334,22.666666666666668,,,308.5,19.416666666666668,,1013.5,
2004-09-21,11.6,6.0,17.75,,,310.0,12.95,,1010.425,
