name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end,state
Post Rogers Memorial Airport,US,AK,70026,PABR,71.2833,-156.7667,13.0,America/Juneau,1945-01-01,2023-11-04,1901-09-01,2023-10-30,1901-01-01,2022-01-01,AK
Wainwright Airport,US,AK,70030,PAWI,70.6333,-160.0333,9.0,America/Nome,2005-01-01,2023-10-16,1935-09-20,2023-10-15,1935-01-01,2022-01-01,AK
Barter Island Airport,US,AK,70086,PABA,70.1333,-143.5667,2.0,America/Juneau,1947-10-01,2023-11-04,1947-09-23,2023-10-19,1947-01-01,2022-01-01,AK
Cape Lisburne Airport,US,AK,70104,PALU,68.8833,-166.1,4.0,America/Nome,2006-01-01,2023-11-04,1953-04-01,2022-04-25,1953-01-01,2022-01-01,AK
Wales,US,AK,70116,PAIW,65.6167,-168.05,9.0,America/Juneau,2009-01-22,2023-11-04,1925-10-10,2022-04-25,1925-01-01,2021-01-01,AK
Tin City,US,AK,70117,PATC,65.5667,-167.9167,83.0,America/Juneau,2006-01-01,2023-11-04,1953-07-01,2022-04-25,1954-01-01,2022-01-01,AK
Wien Memorial Airport,US,AK,70133,PAOT,66.8833,-162.6,3.0,America/Nome,1973-01-01,2023-11-04,1897-09-12,2023-10-30,1897-01-01,2022-01-01,AK
Utopia Creek Airport,US,AK,70173,PAIM,66.9833,-153.7,372.0,America/Juneau,2005-01-01,2023-11-04,1951-11-20,2022-04-24,1951-01-01,2021-01-01,AK
Bettles Airport,US,AK,70174,PABT,66.9,-151.5167,196.0,America/Juneau,1945-01-01,2023-11-04,1945-01-01,2023-10-31,1945-01-01,2022-01-01,AK
Tanana Calhoun Memorial Airport,US,AK,70178,PATA,65.1667,-152.1,72.0,America/Juneau,1943-06-01,2023-11-04,1901-08-24,2023-10-28,1901-01-01,2022-01-01,AK
Fort Yukon Airport,US,AK,70194,PFYU,66.5667,-145.2667,433.0,America/Juneau,1973-01-01,2023-11-04,1899-01-01,2022-04-24,1899-01-01,2022-01-01,AK
Nome Airport,US,AK,70200,PAOM,64.5167,-165.4333,11.0,America/Juneau,1940-01-01,2023-11-04,1900-08-13,2023-10-30,1900-01-01,2022-01-01,AK
"Gambell, Gambell Airport",US,AK,70204,PAGM,63.7667,-171.7333,8.0,America/Juneau,1987-06-03,2023-11-03,1990-09-01,2021-11-02,2011-01-01,2021-01-01,AK
Unalakleet,US,AK,70207,PAUN,63.8833,-160.8,6.0,America/Juneau,1943-06-01,2023-11-04,1941-09-01,2022-04-24,1941-01-01,2022-01-01,AK
Cape Romanzof Airport,US,AK,70212,PACZ,61.7833,-166.0333,139.0,America/Juneau,1953-04-01,2023-11-04,1953-07-01,2022-04-25,1953-01-01,2022-01-01,AK
Bethel Airport,US,AK,70219,PABE,60.7833,-161.8333,37.0,America/Juneau,1945-01-01,2023-11-04,1923-08-01,2023-10-30,1923-01-01,2022-01-01,AK
Galena Airport,US,AK,70222,PAGA,64.7333,-156.9333,46.0,America/Nome,2006-01-01,2023-10-19,1953-06-01,2023-03-19,1953-01-01,2021-01-01,AK
McGrath Airport,US,AK,70231,PAMC,62.95,-155.6,103.0,America/Juneau,1973-01-01,2023-11-04,1939-04-01,2023-10-30,1939-01-01,2021-01-01,AK
Aniak Airport,US,AK,70232,PANI,61.5667,-159.5333,27.0,America/Juneau,1973-01-01,2023-11-04,1920-08-01,2022-04-24,1920-01-01,2022-01-01,AK
Sparrevohn,US,AK,70235,PASV,61.1,-155.5667,484.0,America/Juneau,2006-01-01,2023-11-04,1951-07-25,2022-04-24,1951-01-01,2021-01-01,AK
Minchumina Airport,US,AK,70246,PAMH,63.8667,-152.3,208.0,America/Juneau,1973-01-01,2023-11-04,1945-01-01,2023-08-31,1945-01-01,2022-01-01,AK
Puntilla,US,AK,70249,PAPT,62.1,-152.75,560.0,America/Juneau,2006-01-01,2023-11-04,1942-01-01,2023-10-27,1942-01-01,2022-01-01,AK
Talkeetna Airport,US,AK,70251,PATK,62.3167,-150.1,109.0,America/Juneau,1973-01-01,2023-11-04,1918-06-18,2023-10-28,1918-01-01,2022-01-01,AK
Kenai Municipal Airport,US,AK,70259,PAEN,60.5833,-151.2333,28.0,America/Juneau,1973-01-01,2023-11-04,1899-05-01,2023-10-28,1899-01-01,2022-01-01,AK
Nenana Municipal Airport,US,AK,70260,PANN,64.55,-149.0667,110.0,America/Juneau,1943-07-06,2023-11-03,1916-12-01,2023-10-27,1916-01-01,2022-01-01,AK
Fairbanks Airport,US,AK,70261,PAFA,64.8,-147.8667,132.0,America/Juneau,1946-01-01,2023-11-04,1929-12-01,2023-10-30,1929-01-01,2022-01-01,AK
Fairbanks Air Force Base,US,AK,70265,PAEI,64.65,-147.1,167.0,America/Juneau,2006-01-02,2023-11-04,1949-01-01,2022-04-24,1949-01-01,2022-01-01,AK
Allen Army Airfield,US,AK,70267,PABI,64.0,-145.7167,389.0,America/Juneau,1945-10-15,2023-11-04,1917-06-01,2023-10-28,1917-01-01,2022-01-01,AK
Gulkana Airport,US,AK,70271,PAGK,62.15,-145.45,481.0,America/Juneau,1945-01-01,2023-11-04,1907-03-02,2023-10-04,1909-01-01,2021-01-01,AK
Anchorage Air Force Base,US,AK,70272,PAED,61.25,-149.7833,65.0,America/Juneau,2006-01-01,2023-11-04,1947-01-14,2022-04-23,1949-01-01,2022-01-01,AK
Anchorage Ted Stevens Airport,US,AK,70273,PANC,61.1667,-150.0333,44.0,America/Juneau,1973-01-01,2023-11-04,1952-04-01,2023-10-30,1951-01-01,2022-01-01,AK
Palmer Municipal Airport,US,AK,70274,PAAQ,61.6,-149.1,76.0,America/Juneau,1999-01-01,2023-11-04,1997-10-01,2023-10-28,1997-01-01,2022-01-01,AK
Seward,US,AK,70277,PAWD,60.1167,-149.45,9.0,America/Juneau,2006-01-01,2023-11-04,1908-02-01,2023-10-28,1908-01-01,2022-01-01,AK
Northway Airport,US,AK,70291,PAOR,62.9667,141.9333,523.0,America/Juneau,1945-01-01,2023-11-04,1942-09-08,2023-10-28,1942-01-01,2022-01-01,AK
Merle K. Smith Airport,US,AK,70296,PACV,60.5,-145.4833,13.0,America/Juneau,1942-06-11,2023-11-04,1909-05-05,2023-10-28,1909-01-01,2022-01-01,AK
Cape Newenham Airport,US,AK,70305,PAEH,58.65,-162.0667,165.0,America/Juneau,2006-01-01,2023-11-04,1953-07-26,2022-04-24,1953-01-01,2022-01-01,AK
St Paul Island Airport,US,AK,70308,PASN,57.1667,-170.2167,19.0,America/Adak,1943-11-05,2023-11-04,1915-08-08,2023-10-30,1915-01-01,2022-01-01,AK
Cold Bay Airport,US,AK,70316,PACD,55.2167,-162.7333,30.0,America/Juneau,1942-03-04,2023-11-04,1942-03-25,2023-10-31,1942-01-01,2022-01-01,AK
Dillingham Airport,US,AK,70321,PADL,59.05,-158.5167,26.0,America/Juneau,2006-01-01,2023-11-04,1919-02-01,2022-04-24,1919-01-01,2021-01-01,AK
King Salmon Airport,US,AK,70326,PAKN,58.6833,-156.65,17.0,America/Juneau,1942-01-10,2023-11-04,1942-01-12,2023-10-30,1942-01-01,2022-01-01,AK
Port Heiden Airport,US,AK,70333,PAPH,56.95,-158.6333,29.0,America/Juneau,2006-01-01,2023-11-04,1942-09-01,2022-04-24,1942-01-01,2022-01-01,AK
Iliamna Airport,US,AK,70340,PAIL,59.75,-154.9167,63.0,America/Juneau,1973-01-01,2023-11-04,1920-02-11,2023-10-04,1920-01-01,2021-01-01,AK
Homer / Municipal,US,AK,70341,PAHD,59.6333,-151.5,24.0,America/Juneau,1973-01-01,2023-09-03,1932-09-01,2023-10-28,1932-01-01,2022-01-01,AK
Middleton Island Airport,US,AK,70343,PAMD,59.4333,-146.3,27.0,America/Anchorage,1945-01-01,2023-11-04,1942-12-01,2022-04-25,1942-01-01,2022-01-01,AK
Kodiak Airport,US,AK,70350,PADQ,57.75,-152.4833,22.0,America/Juneau,1945-01-01,2023-11-04,1945-01-01,2023-10-31,1945-01-01,2022-01-01,AK
Yakutat Airport,US,AK,70361,PAYA,59.5,-139.6667,10.0,America/Juneau,1941-05-01,2023-11-04,1917-04-01,2023-10-30,1917-01-01,2022-01-01,AK
Skagway Airport,US,AK,70362,PAGY,59.4667,-135.3167,13.0,America/Juneau,1943-10-01,2023-11-04,1898-11-01,2023-10-30,1898-01-01,2022-01-01,AK
"Gustavus, Gustavus Airport",US,AK,70367,PAGS,58.4167,-135.7,10.0,America/Juneau,1976-08-01,2023-11-04,1923-04-01,2023-10-31,1923-01-01,2022-01-01,AK
Sitka Airport,US,AK,70371,PASI,57.05,-135.3667,6.0,America/Juneau,1973-01-01,2023-11-04,1944-09-01,2023-10-30,1944-01-01,2022-01-01,AK
Juneau International Airport,US,AK,70381,PAJN,58.35,-134.5667,6.0,America/Juneau,1973-01-01,2023-11-04,1936-09-01,2023-10-30,1936-01-01,2022-01-01,AK
Angoon,US,AK,70383,PAGN,57.5,-134.5833,0.0,America/Juneau,1973-01-01,2023-11-04,1932-04-01,2022-04-25,1932-01-01,2016-01-01,AK
Petersburg,US,AK,70386,PAPG,56.8167,-132.9667,0.0,America/Juneau,1973-01-01,2023-11-04,1924-05-01,2023-10-28,1924-01-01,2022-01-01,AK
Wrangell,US,AK,70387,PAWG,56.4833,-132.3667,13.0,America/Juneau,2006-01-01,2023-11-04,1917-11-02,2023-10-28,1917-01-01,2017-01-01,AK
Ketchikan International Airport,US,AK,70395,PAKT,55.35,-131.7167,27.0,America/Juneau,1973-01-01,2023-11-04,1910-09-01,2023-10-30,1910-01-01,2022-01-01,AK
Annette Island Airport,US,AK,70398,PANT,55.0333,-131.5833,36.0,America/Juneau,1941-07-14,2019-10-01,1941-01-16,2019-10-01,1941-01-01,2019-01-01,AK
Shemya Eareckson As,US,AK,70414,PASY,52.7167,174.1167,30.0,America/Adak,2005-01-01,2023-11-04,1943-07-01,2022-04-20,1943-01-01,2020-01-01,AK
Adak Island Airport,US,AK,70454,PADK,51.8667,-176.6333,6.0,America/Adak,1942-10-30,2023-11-04,1942-10-01,2023-10-28,1942-01-01,2022-01-01,AK
